matname,bandgap,totd,fom
mp-1210368_Na2PbO3,3.1525999999999996,10.668994,33.635070484399996
mp-1210431_Na2MgGeO4,6.9296,5.499074,38.1063831904
mp-1210656_MgZn2(AsO4)2,6.1342,7.580008333333333,46.49728711833333
mp-1210797_Li2MgGeO4,7.172499999999999,6.160790666666666,44.18827105666666
mp-1211126_LiSc(WO4)2,4.9619,17.945274,89.04265506060001
mp-1211258_La3TiGa5O14,5.325800000000001,43.058923,229.32321211340005
mp-1211281_La3HfGa5O14,6.2759,20.942935333333335,131.43576785846668
mp-1211443_KLa(MoO4)2,4.9183,14.438645333333332,71.01358934293333
mp-1211497_KSc(WO4)2,4.5673,19.234134333333333,87.84806174063334
mp-1211624_K4ZrO4,6.0219000000000005,7.086596,42.674772452400006
mp-1211649_K4HfO4,6.0248,6.909729333333334,41.62973728746667
mp-1212067_InSbO4,2.9721,13.572792333333332,40.3396960939
mp-1213157_CsSc(WO4)2,6.969099999999999,7.475125666666666,52.09489828356666
mp-1213173_CsLa(WO4)2,5.3087,14.332776333333333,76.08840972076666
mp-1213231_CsY(MoO4)2,6.6991,7.632450666666666,51.13055026106666
mp-1213335_CsY(WO4)2,5.0039,14.549487333333333,72.80417966726667
mp-1213697_CsBi(MoO4)2,3.6924,19.454042333333334,71.83210591160001
mp-1213706_Cs2Pb2O3,2.8317999999999994,9.879044,27.975476799199996
mp-1213894_CaYBO4,7.2886999999999995,10.542897333333334,76.84401579346667
mp-1213950_CaAgAsO4,3.6746000000000003,10.884313333333333,39.99549777466667
mp-1214081_Ca2ScTaO6,5.6606,30.013731333333336,169.89572758546666
mp-1214228_BaZr(SiO3)3,8.0647,9.164925333333334,73.91237333573335
mp-1214314_BaTi(AsO4)2,4.7354,21.188870666666663,100.33777815493332
mp-1214475_Ba3Ta2ZnO9,5.148,32.00449666666667,164.75914884
mp-1214487_Ba3ZnSb2O9,4.5222,20.390341666666668,92.209203085
mp-1214502_Ba3Nb2CdO9,4.5139000000000005,101.17527399999999,456.6950693086
mp-1214569_Ba3CaNb2O9,4.4326,97.30615366666666,431.3192567428666
mp-1214739_Ba2CdGe2O7,5.6263000000000005,10.177942999999999,57.2641607009
mp-1216423_VAg3HgO4,1.9730000000000003,15.1036,29.799402800000006
mp-1216623_TlSbWO6,4.1902,26.308982000000004,110.23989637640001
mp-1216944_TiNb6Tl2O18,3.7920000000000003,75.93732100000001,287.95432123200004
mp-12171_K6MgO4,4.2343,8.895904666666667,37.66792913006667
mp-1217830_TaTlWO6,4.5709,82.30689033333333,376.2165650246333
mp-1218099_Ta6TiTl2O18,4.5934,37.600099666666665,172.71229780886665
mp-1218382_Sr4Bi2O,1.2590000000000003,24.384209333333335,30.699719550666675
mp-1218484_SrAl2(SiO4)2,8.6233,6.594651666666667,56.86765971716667
mp-1219559_RbNaCd3O4,1.7967,13.435698,24.1399185966
mp-1219606_RbSbMoO6,4.1071,19.806283000000004,81.34638490930001
mp-1219774_Rb12Sn2As6O,1.2944,13.027313000000001,16.862553947200002
mp-1220757_NaLa(MoO4)2,5.2565,13.401274,70.443796781
mp-1220867_NaTlO,1.8307000000000002,12.806197,23.4443048479
mp-1221048_NaLiV2O6,5.4384999999999994,7.261377333333333,39.49100062733333
mp-1222442_Li5AuO4,4.665,7.957584999999999,37.122134024999994
mp-1222719_LaTiSbO6,4.793799999999999,21.035977666666668,100.84226973846665
mp-1223039_KTaWO6,4.907299999999999,55.57914099999999,272.7435186292999
mp-1223057_LaAg(MoO4)2,3.7217,14.180104333333333,52.77409429736666
mp-1223347_KSbWO6,4.9013,17.526493,85.90260014089999
mp-1223396_KNbWO6,4.6735999999999995,83.89484399999999,392.09094291839995
mp-1223458_KBaY(BO3)2,7.1209999999999996,10.507765,74.825794565
mp-1223469_KLiZn3O4,4.3629999999999995,9.821780666666667,42.852429048666664
mp-1224786_GaSbO4,3.2138999999999998,13.087255333333331,42.06112991579999
mp-1224_HgO,2.2824,12.563507333333334,28.674949137600002
